date,LogTitle,message,exception,machinename,appdomain,assembly-version,basedir,callsite,counter,nlogdir,processid,processname,specialfolder,stacktrace,longdate,event-properties,uppercase,logger,url,action
2022/01/23 15:33:25.104,成功回调,成功,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,1,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,20468,FluUrl,C:\Users\Administrator\Desktop,AsyncMethodBuilderCore.Start => <test>d__11.MoveNext => NLogUtil.WriteFileLog,2022-01-23 15:33:25.1042,,INFO,logfile,,
2022/01/23 15:34:25.163,成功回调,成功,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,2,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,20468,FluUrl,C:\Users\Administrator\Desktop,AsyncMethodBuilderCore.Start => <test>d__11.MoveNext => NLogUtil.WriteFileLog,2022-01-23 15:34:25.1634,,INFO,logfile,,
2022/01/23 15:37:36.596,成功回调,成功,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,1,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,10592,FluUrl,C:\Users\Administrator\Desktop,AsyncMethodBuilderCore.Start => <test>d__11.MoveNext => NLogUtil.WriteFileLog,2022-01-23 15:37:36.5961,,INFO,logfile,,
