date,LogTitle,message,exception,machinename,appdomain,assembly-version,basedir,callsite,counter,nlogdir,processid,processname,specialfolder,stacktrace,longdate,event-properties,uppercase,logger,url,action
2022/01/24 10:57:27.738,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36230,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,12,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:27.7380,,ERROR,logfile,,
2022/01/24 10:57:27.943,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36315,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,13,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:27.9433,,ERROR,logfile,,
2022/01/24 10:57:28.176,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36193,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,14,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:28.1764,,ERROR,logfile,,
2022/01/24 10:57:28.359,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36300,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,15,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:28.3593,,ERROR,logfile,,
2022/01/24 10:57:28.587,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36172,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,16,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:28.5879,,ERROR,logfile,,
2022/01/24 10:57:28.803,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36238,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,17,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:28.8039,,ERROR,logfile,,
2022/01/24 10:57:29.011,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36139,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,18,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:29.0119,,ERROR,logfile,,
2022/01/24 10:57:29.418,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36230,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,19,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:29.4181,,ERROR,logfile,,
2022/01/24 10:57:29.656,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36116,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,20,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:29.6562,,ERROR,logfile,,
2022/01/24 10:57:29.841,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36193,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,21,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:29.8410,,ERROR,logfile,,
2022/01/24 10:57:30.084,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36065,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,22,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:30.0842,,ERROR,logfile,,
2022/01/24 10:57:30.271,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36172,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,23,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:30.2713,,ERROR,logfile,,
2022/01/24 10:57:30.476,失败,获取相册失败https://www.xsnvshen.com/album/https://www.xsnvshen.com/album/36049,,CLHLNAEDJHHBHXG,0001:FluUrl, 1.0.0.0,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0\,FluUrl.Utils.NLogUtil.WriteFileLog,24,D:\Project\coreproject\FluUrl\FluUrl\bin\Debug\net6.0,30696,FluUrl,C:\Users\Administrator\Desktop,<Get>d__8.MoveNext => NLogUtil.WriteAll => NLogUtil.WriteFileLog,2022-01-24 10:57:30.4763,,ERROR,logfile,,
